DeltaFuel,TimeStamp,valid_fuel,before_avg,after_avg
1751.6800000000003,2024-11-30T09:01:30.000000,2675.84,917.8879999999999,2660.352
2162.56,2024-11-30T23:15:30.000000,2975.68,814.6879999999999,3000.8959999999997
2047.04,2024-12-02T04:29:30.000000,2823.36,783.5839999999998,2843.936
2038.08,2024-12-02T21:51:00.000000,3043.2,1015.1360000000001,3065.3439999999996
2137.92,2024-12-03T20:34:30.000000,3043.2,908.512,3043.008
1985.28,2024-12-04T20:51:30.000000,2690.56,706.976,2699.776
2022.08,2024-12-05T13:53:00.000000,2838.08,816.9920000000001,2848.832
2081.2799999999997,2024-12-06T09:26:00.000000,3043.2,952.5440000000001,3034.464
2161.6000000000004,2024-12-07T15:19:00.000000,2926.4,769.6960000000001,2935.392
2127.04,2024-12-08T14:44:30.000000,3043.2,916.064,3030.528
2036.8000000000002,2024-12-09T20:54:30.000000,2705.28,672.1599999999999,2691.9680000000003
2075.2,2024-12-10T17:07:00.000000,3039.68,955.9680000000001,3051.136
2143.68,2024-12-11T15:58:30.000000,3032.64,893.8560000000001,3065.984
2094.72,2024-12-12T23:28:00.000000,2921.6,827.7119999999999,2923.072
2037.1200000000003,2024-12-14T01:54:30.000000,2833.28,788.096,2864.096
2070.3999999999996,2024-12-14T22:54:00.000000,3043.2,970.5599999999998,3053.632
1954.24,2024-12-15T21:53:30.000000,2813.44,863.36,2822.816
2321.6,2024-12-16T21:25:30.000000,3216.0,898.208,3207.904
2202.88,2024-12-18T01:48:00.000000,3135.04,939.7760000000001,3138.56
2278.3999999999996,2024-12-19T01:54:00.000000,3043.2,780.992,3081.888
1875.8400000000001,2024-12-20T12:59:00.000000,2729.92,849.4399999999999,2736.2239999999997
2060.16,2024-12-21T04:05:30.000000,3022.08,947.392,3022.7839999999997
2085.12,2024-12-21T23:14:30.000000,3025.6,937.1200000000001,3029.152
2217.6,2024-12-22T19:37:00.000000,3022.08,808.1600000000001,3066.3680000000004
2094.7200000000003,2024-12-23T16:35:30.000000,3008.0,905.472,3007.2960000000003
2076.8,2024-12-24T15:39:00.000000,3000.96,919.2639999999999,3000.7039999999997
2260.16,2024-12-25T13:58:30.000000,3149.12,890.4,3174.8160000000007
1984.96,2024-12-26T08:37:00.000000,2887.36,901.7280000000001,2891.104
1494.7200000000003,2024-12-27T02:00:30.000000,2675.84,1175.8719999999998,2672.768
2011.5199999999998,2024-12-27T16:55:30.000000,3075.2,1070.6560000000002,3105.12
1994.2399999999998,2024-12-28T12:52:00.000000,3170.24,1197.248,3193.472
1412.1599999999999,2024-12-29T12:55:00.000000,2382.08,967.296,2377.6639999999998
2034.8799999999999,2024-12-30T03:44:30.000000,2606.08,580.0,2624.5440000000003
1980.16,2024-12-30T22:49:00.000000,2778.88,796.6080000000001,2762.8160000000003
2016.3200000000002,2024-12-31T20:50:30.000000,2980.8,963.232,2966.944
2160.96,2025-01-01T20:07:00.000000,3015.04,866.1120000000001,3030.2399999999993
2121.92,2025-01-02T17:21:00.000000,3032.64,919.0079999999998,3097.0240000000003
1850.2399999999998,2025-01-03T12:51:30.000000,3170.24,1348.576,3188.5440000000003
2092.16,2025-01-04T10:21:00.000000,3054.08,956.0,3079.7760000000003
1411.2000000000003,2025-01-05T03:13:00.000000,3177.28,1767.4560000000006,3190.656
1897.6,2025-01-05T22:31:30.000000,3057.6,1163.0720000000001,3091.04
2159.68,2025-01-07T04:45:30.000000,3054.08,902.2719999999999,3105.4719999999998
1707.84,2025-01-09T17:17:00.000000,2680.64,978.1759999999998,2680.608
1969.92,2025-01-10T16:08:30.000000,2985.6,1006.3040000000001,2984.5440000000003
2087.68,2025-01-11T15:13:30.000000,3047.04,958.4320000000001,3046.2079999999996
2157.7599999999998,2025-01-12T16:33:30.000000,3057.6,904.6719999999999,3071.3280000000004
2257.92,2025-01-13T12:54:00.000000,3068.16,804.5759999999999,3078.0159999999996
2067.2,2025-01-14T03:49:30.000000,3029.12,976.2880000000001,3050.016
2165.12,2025-01-14T20:42:00.000000,3032.64,866.912,3059.6800000000003
2129.92,2025-01-15T17:08:00.000000,3008.0,872.2239999999999,3045.1200000000003
2307.84,2025-01-16T14:51:00.000000,3004.48,699.904,3044.128
2429.44,2025-01-17T14:27:30.000000,3004.48,585.1200000000001,3041.5359999999996
2226.2400000000002,2025-01-18T16:37:30.000000,2993.92,759.4240000000001,3025.2799999999997
2183.04,2025-01-19T20:17:30.000000,3039.68,852.576,3085.7599999999998
2119.3599999999997,2025-01-20T21:06:30.000000,2946.24,828.1600000000001,2961.984
2104.0,2025-01-21T17:30:30.000000,3036.16,931.6479999999999,3051.5199999999995
2067.52,2025-01-22T16:26:00.000000,3008.0,943.9039999999999,3060.704
2157.1200000000003,2025-01-23T23:42:30.000000,2724.8,577.4720000000001,2740.2239999999997
2219.2,2025-01-24T16:55:00.000000,2941.44,722.2719999999999,2971.6159999999995
2272.3199999999997,2025-01-25T22:01:00.000000,3054.08,775.008,3054.016
2197.44,2025-01-26T23:32:30.000000,2970.88,765.376,2989.0880000000006
2208.3199999999997,2025-01-27T21:03:00.000000,3018.56,808.48,3071.2959999999994
2156.48,2025-01-28T21:32:30.000000,2960.96,792.064,2976.704
2327.6800000000003,2025-01-29T22:01:00.000000,3004.48,673.5040000000001,2998.048
1764.8000000000002,2025-01-30T16:26:30.000000,2566.4,801.1200000000001,2564.8320000000003
2144.0,2025-01-31T08:12:30.000000,3022.08,885.216,3061.7599999999993
2109.12,2025-02-01T02:10:30.000000,3057.6,947.616,3101.952
2053.4399999999996,2025-02-01T21:16:30.000000,3039.68,1003.424,3069.216
2029.12,2025-02-02T16:51:30.000000,3004.48,977.824,3024.5440000000003
2039.3600000000001,2025-02-03T16:44:00.000000,2990.4,952.7040000000001,3013.632
2043.84,2025-02-04T15:34:30.000000,3022.08,990.5279999999999,3034.816
1985.6,2025-02-05T09:41:00.000000,2798.72,810.752,2826.272
1747.52,2025-02-06T03:09:30.000000,2447.04,707.232,2442.9440000000004
1909.12,2025-02-06T13:56:30.000000,3149.12,1230.9119999999998,3151.936
1784.0,2025-02-07T22:30:30.000000,3050.56,962.208,3063.936
1993.9199999999998,2025-02-08T16:05:30.000000,3025.6,1030.592,3033.728
1882.56,2025-02-09T12:49:30.000000,3128.0,1257.056,3158.976
1250.2400000000002,2025-02-10T14:58:30.000000,1814.4,576.4159999999999,1817.7599999999998
733.7599999999998,2025-02-10T20:58:30.000000,3022.08,937.3760000000002,3043.36
1323.8400000000001,2025-02-11T14:37:30.000000,2051.84,730.208,2049.3120000000004
2150.08,2025-02-12T02:44:00.000000,3117.44,970.016,3122.368
2122.88,2025-02-13T02:07:30.000000,3047.04,917.6,3041.952
2062.72,2025-02-13T23:25:30.000000,3032.64,883.392,3061.8239999999996
2216.3199999999997,2025-02-14T21:36:00.000000,3015.04,802.4960000000001,3012.2239999999997
2093.12,2025-02-15T20:02:00.000000,2936.32,845.824,2935.424
2108.48,2025-02-16T16:33:30.000000,2997.44,885.4399999999999,3044.032
2141.12,2025-02-17T19:35:00.000000,2970.88,825.824,3060.6719999999996
2073.92,2025-02-18T16:18:00.000000,3011.52,949.5040000000001,3015.04
